,SensorId, TimeStamp (s), AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),Class
67,1,0.67,0.07822528,-1.00511873,0.0728072,-0.22237542,0.77097315,-0.99816507,-47.32534409,1.52002335,-99.15229034,0.22470754,0.15097332,-0.16725759,0.99999613,-0.00196286,-0.00131462,0.00146218,-0.00626445,-0.00510697,0.01076671,2
68,1,0.68,0.07938119,-1.00321078,0.08123691,-0.08326619,0.91124892,-0.57890868,-47.00379944,1.66617942,-99.47383881,0.22456421,0.15604737,-0.1576941,0.99999624,-0.00196156,-0.00135907,0.0013788,-0.00626034,0.00423988,0.00955871,2
69,1,0.69,0.06871567,-1.00297248,0.08473684,0.16390204,1.0180639,-0.19629741,-46.94533539,1.95849168,-99.73691559,0.22694859,0.15722543,-0.14753284,0.9999963,-0.00198226,-0.0013695,0.00129018,0.00442005,0.00771814,0.00883122,2
70,1,0.7,0.05671304,-1.00102413,0.08319207,0.03597965,1.1206336,0.03331801,-47.17918777,1.34463608,-100.1169205,0.22810711,0.15603389,-0.13643539,0.99999636,-0.00199223,-0.00135928,0.00119333,0.0162398,0.00628757,0.00594344,2
71,1,0.71,0.05671304,-0.99926609,0.07897285,-0.14557692,1.29222929,0.09289226,-47.0914917,1.31540489,-99.29844666,0.2275891,0.15411882,-0.12354956,0.9999966,-0.00198753,-0.00134279,0.00108084,0.01607148,0.00220476,0.00388852,2
72,1,0.72,0.066102,-0.99998933,0.07333798,-0.28666964,1.06457543,0.22398773,-47.0914917,1.31540489,-99.29844666,0.15316795,0.11305512,-0.1124456,0.99999821,-0.00133761,-0.00098528,0.00098259,0.00651267,-0.00312373,0.00485333,2
73,1,0.73,0.07767884,-1.00243962,0.07199372,-0.42241853,0.48959824,0.18660147,-47.12072372,1.72464192,-99.73691559,0.14927822,0.11082458,-0.10742275,0.99999821,-0.0013036,-0.0009659,0.0009387,-0.00542044,-0.00364193,0.00799692,2
74,1,0.74,0.08326989,-1.00470424,0.07562583,-0.05744963,0.02484112,0.01107916,-47.03303146,1.28617358,-99.82460785,0.14873414,0.11069468,-0.1071417,0.99999827,-0.00129885,-0.00096478,0.00093624,-0.01083315,-0.00014361,0.01090328,2
75,1,0.75,0.07837664,-1.00817406,0.07409853,-0.41562852,0.09028211,-0.12218723,-46.33148193,1.63694823,-99.8830719,0.14465785,0.1118447,-0.10585926,0.99999839,-0.00126328,-0.00097486,0.00092503,-0.00570838,-0.00188952,0.01390328,2
76,1,0.76,0.07175441,-0.99846417,0.07396221,-0.7555024,0.0341269,-0.05247864,-46.50687027,1.95849168,-99.79537964,0.13714328,0.11234026,-0.10495161,0.99999839,-0.0011977,-0.00097926,0.00091705,0.0002348,-0.00119019,0.00377051,2
77,1,0.77,0.07312276,-0.99253553,0.06956595,0.23568368,-0.42337868,-0.16329092,-46.50687027,1.95849168,-99.79537964,0.09336603,0.12930506,-0.10680091,0.99999863,-0.00081582,-0.00112764,0.00093293,-0.00147323,-0.00490878,-0.00235141,2
78,1,0.78,0.07555167,-1.00134146,0.06863427,0.64696032,-0.47088316,0.03942475,-46.53609848,1.87079799,-99.94153595,0.09947661,0.12926184,-0.11196453,0.99999851,-0.0008692,-0.00112717,0.00097805,-0.00307407,-0.00597703,0.0065111,2
79,1,0.79,0.07871084,-1.00902593,0.07554317,-0.07594182,-0.02769564,0.23416795,-46.44840622,2.04618526,-99.47383881,0.09868693,0.12694812,-0.11236356,0.99999851,-0.00086229,-0.00110699,0.00098151,-0.00568484,0.00032019,0.01487772,2
80,1,0.8,0.07436517,-1.01031148,0.07529228,-0.15350129,0.38833344,0.35382575,-46.94533539,1.92926037,-99.73691559,0.09741329,0.12313013,-0.10865512,0.99999863,-0.00085111,-0.00107371,0.00094911,-0.00132073,-3.7e-07,0.01583511,2
81,1,0.81,0.07336301,-1.00601768,0.07143769,-0.58362037,0.41806391,0.35817996,-46.76995087,2.04618526,-99.53230286,0.09188145,0.11924715,-0.10435432,0.99999881,-0.00080276,-0.0010399,0.0009115,-0.00070441,-0.00346902,0.01121358,2
82,1,0.82,0.0788945,-1.00093663,0.07017151,-0.73437333,-0.43520826,0.43177462,-46.76995087,2.04618526,-99.53230286,0.04945897,0.23457868,-0.09776792,0.99999756,-0.00043336,-0.00204671,0.00085407,-0.00613215,-0.00408044,0.00645373,2
83,1,0.83,0.08870998,-1.00126994,0.07566978,-0.24250406,-1.14198494,0.52317399,-46.74071884,1.69541073,-99.73691559,0.04617502,0.23019974,-0.10934166,0.9999975,-0.00040487,-0.00200848,0.00095499,-0.01438601,0.0019248,0.00787233,2
84,1,0.84,0.09062499,-0.9978711,0.07408991,-0.02449284,-1.29564559,0.30829716,-46.85764313,1.2277112,-99.8830719,0.04494679,0.22807522,-0.12243848,0.99999738,-0.00039436,-0.00198991,0.00106926,-0.01659633,0.0006251,0.00450964,2
85,1,0.85,0.07676739,-0.99984878,0.06741822,-0.02201038,-1.33005679,-0.05624998,-46.74071884,1.2277112,-99.73691559,0.04376627,0.22961277,-0.13561314,0.99999732,-0.0003843,-0.00200329,0.00118421,-0.0026638,-0.00615865,0.0050272,2
86,1,0.86,0.06953546,-1.00005639,0.0702611,0.17649534,-1.39713967,-0.18130754,-46.27301788,0.90616781,-99.53230286,0.04450209,0.23244642,-0.1495041,0.99999708,-0.000391,-0.00202797,0.00130545,0.0046247,-0.00332558,0.00493508,2
87,1,0.87,0.067226,-1.00270689,0.07639695,0.45602,-0.80298889,-0.2826941,-46.27301788,0.90616781,-99.53230286,0.0971372,0.15405576,-0.16237785,0.99999774,-0.00084958,-0.00134319,0.00141815,0.00684099,0.00233359,0.00785497,2
88,1,0.88,0.06990071,-1.00334454,0.08504031,0.44692034,-0.07325939,-0.30771884,-47.00379944,0.90616781,-99.09383392,0.10156807,0.15718037,-0.16319045,0.99999774,-0.0008883,-0.00137039,0.00142532,0.00324675,0.01019565,0.00929965,2
89,1,0.89,0.07196707,-1.00466144,0.0886389,0.06695494,0.16543487,-0.14038551,-46.41917419,1.31540489,-100.0876923,0.10236113,0.15845856,-0.16148496,0.99999768,-0.00089522,-0.00138155,0.00141045,0.00132895,0.01364405,0.01101497,2
90,1,0.9,0.06822873,-1.00500071,0.08152276,-0.0187294,-0.14836283,-0.11666404,-46.65302658,0.81847411,-99.44460297,0.10205447,0.15973082,-0.16285881,0.99999762,-0.00089257,-0.00139265,0.00142245,0.00506995,0.00652353,0.01057623,2
91,1,0.91,0.06336661,-1.00263619,0.07392424,-0.53348982,-0.5889501,0.07863823,-46.74071884,1.40309846,-99.23999023,0.09631772,0.15938422,-0.16840214,0.99999768,-0.00084257,-0.00138965,0.00147075,0.00972293,-0.0008225,0.00733376,2
92,1,0.92,0.06826007,-0.9970625,0.07248013,-0.39309084,-0.46587202,0.30697176,-46.8284111,1.11078632,-99.53230286,0.07823893,0.14080067,-0.17393993,0.99999791,-0.00068463,-0.00122768,0.00151875,0.00434978,-0.00169071,0.00202456,2
93,1,0.93,0.06971787,-1.00132203,0.07436688,0.39019141,-0.17884526,0.46725753,-46.8284111,1.11078632,-99.53230286,0.08197467,0.13627344,-0.17633682,0.99999791,-0.00071719,-0.00118811,0.00153968,0.00291867,3.716e-05,0.00649986,2
94,1,0.94,0.06616185,-1.00521445,0.07608361,0.31613544,0.11588961,0.23646775,-47.00379944,0.96463019,-99.59075928,0.08521476,0.13383251,-0.17557921,0.99999797,-0.00074543,-0.00116677,0.00153308,0.00668786,0.00140052,0.01024899,2
95,1,0.95,0.06142096,-1.00540721,0.07108686,0.33325642,0.29007187,-0.01673951,-47.06226349,0.64308679,-98.97690582,0.0887469,0.1337844,-0.17291391,0.99999797,-0.00077622,-0.00116632,0.00150986,0.01138673,-0.00364458,0.00974794,2
96,1,0.96,0.0616342,-1.00435984,0.07431608,0.94733196,-0.06755075,-0.15561977,-46.53609848,1.05232382,-99.15229034,0.0981541,0.135387,-0.17412928,0.99999785,-0.00085835,-0.00118017,0.00152057,0.01114127,-0.00047751,0.008955,2
97,1,0.97,0.06698263,-1.00313294,0.07444961,0.43308589,-0.52546358,-0.01285262,-46.59456253,1.52002335,-99.15229034,0.10762182,0.11068816,-0.18123789,0.99999779,-0.0009407,-0.00096445,0.0015825,0.00562823,-0.00040519,0.00811719,2
98,1,0.98,0.07606991,-0.99782628,0.07799316,0.16412351,-0.51125729,0.02430571,-46.59456253,1.52002335,-99.15229034,0.1088974,0.11082748,-0.18645819,0.99999779,-0.00095188,-0.0009656,0.00162807,-0.00411261,0.00342606,0.00372763,2
